中央台,#genre#
CGTN,http://58.248.112.203:8006/GD_CUCC/G_CCTV-NEWS.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oaUkj9RTshretJUghEUqfJyVVHynjNCxzk6u2QiL798s
CGTN阿拉伯,http://58.248.112.203:8006/GD_CUCC/G_CGTN_A.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oTwnqThYT%2FZcjMcxUKrlsHtjK6R%2FDRY%2F6uy3COqbkx66
CGTN俄语,http://58.248.112.203:8006/GD_CUCC/G_CGTN-PYCCNN.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oRMcyzTIO6uk1vbuc%2F1pP8PE5Acvzje4GL1fAdo6lgww
CGTN法语,http://58.248.112.203:8006/GD_CUCC/G_CGTN-FRANCAIS.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oUXZ4k2I2F%2BmA1iESQA8yYF1Jc8eBhKJpN%2BFbsktot5E
CGTN西班牙,http://58.248.112.203:8006/GD_CUCC/G_CGTN-ESPANOL.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oerjCl9SrL2xMoAnaLQjVYrJL%2FKQ8%2FYcRfkVV0nEN0Iv

卫视,#genre#
安多卫视,http://58.248.112.203:8006/GD_CUCC/G_ANDUO.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ofDmcHqlA2It3SuAZpGsy%2BZXhfjPdcgWbQeahlCxEA5L
安徽卫视,http://58.248.112.203:8006/GD_CUCC/G_ANHUI-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ofeff86AF8D2Bvl8%2BC9gJFzY8VM03bO23TKJoeHTcW%2Bh
北京纪实科教,http://58.248.112.203:8006/GD_CUCC/G_BEIJINGJS-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oVqqd8HLKWN9yv5NoaCSBtwe8mtQCl5%2BTOYhGHX5WIzm
北京卫视,http://58.248.112.203:8006/GD_CUCC/G_BEIJING-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oX6pFJlsKFX2elUkY7G9Wub%2FFMYt0rWQqYiBdKN6lg2w
兵团卫视,http://58.248.112.203:8006/GD_CUCC/G_BINGTUAN.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oQUbj6uV5QX8laW4NHSaYZjY8VM03bO23TKJoeHTcW%2Bh
东方卫视,http://58.248.112.203:8006/GD_CUCC/G_DONGFANG-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ofFI8ayEeoekFD8P08%2F7EXHb2909k%2FrB6AKl4oUE7Df1
东南卫视,http://58.248.112.203:8006/GD_CUCC/G_DONGNAN-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oQ3sVbVN1ZTQKUpnK8xcf7z%2FFMYt0rWQqYiBdKN6lg2w
甘肃卫视,http://58.248.112.203:8006/GD_CUCC/G_GANSU-HQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oWHsSIhsDy1E5LMWkA7bWUXY8VM03bO23TKJoeHTcW%2Bh
广东卫视,http://58.248.112.203:8006/GD_CUCC/G_GUANGDONG-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ofgbSbSCTYnboG1IAsnN%2B8Qe8mtQCl5%2BTOYhGHX5WIzm
广西卫视,http://58.248.112.203:8006/GD_CUCC/G_GUANGXI-HQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oUIecLjXoLUiOhb4XqRrxOvseLuOemEzaSxuhWGEZRMQ
贵州卫视,http://58.248.112.203:8006/GD_CUCC/G_GUIZHOU-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oWs5lc8HFQLTI9VPV%2F62TTvseLuOemEzaSxuhWGEZRMQ
哈哈炫动,http://58.248.112.203:8006/GD_CUCC/G_XUANDONG.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oZOEkq3c9cIb4MAjv4SOHLTd3P%2FoVREAk3GkBPgLV6gu
海南卫视,http://58.248.112.203:8006/GD_CUCC/G_HAINAN-HQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oetBUImL2BhChz5cQwxmSCBc71AZp0divxr7%2BPN6oFcQ
河北卫视,http://58.248.112.203:8006/GD_CUCC/G_HUBEI-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oTd7biGuRz34w%2BeOLuP%2BIund3P%2FoVREAk3GkBPgLV6gu
河南卫视,http://58.248.112.203:8006/GD_CUCC/G_HENAN-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oa%2BUT3Tb9UQy9%2FdYSpIzxQbd3P%2FoVREAk3GkBPgLV6gu
黑龙江卫视,http://58.248.112.203:8006/GD_CUCC/G_HEILONGJIANG-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oYGO4sBlEXR27vS0rpENy%2BDD%2F3YHLChoy2mrQLITKIR4
湖南卫视,http://58.248.112.203:8006/GD_CUCC/G_HUNAN-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oUF%2B6eqd1xOyVxTIxwgt%2BT32iSoFFNRlyWWENnFb7ezn
吉林卫视,http://58.248.112.203:8006/GD_CUCC/G_JILIN-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oQNrKINhniTL1xiNyHmG8gv2iSoFFNRlyWWENnFb7ezn
家庭理财,http://58.248.112.203:8006/GD_CUCC/G_JIATINGLC.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oaEgEqdDLHA5psbfo99WQ1NGSi3CUyvNbgWgdUzEgFEN
嘉佳卡通,http://58.248.112.203:8006/GD_CUCC/G_JIAJIA.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oZVfR%2FTdl%2FlsOgHPEDckn6OT0V12sJwjDMJAtJR59zBy
江苏卫视,http://58.248.112.203:8006/GD_CUCC/G_JIANGSU-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oe%2BuH8HDFS0PtokY11nWnf4eLZL4U844FaKbLu0T%2FMyn
