

江西移动20240604,#genre#
康巴卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221226207/index.m3u8
康巴卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221226263/index.m3u8
新华全球,http://39.134.115.163:8080/PLTV/88888910/224/3221226298/index.m3u8
新华社,http://39.134.115.163:8080/PLTV/88888910/224/3221226297/index.m3u8
欢乐剧场,http://39.134.115.163:8080/PLTV/88888910/224/3221226210/index.m3u8
河南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221226196/index.m3u8
游戏竟技,http://39.134.115.163:8080/PLTV/88888910/224/3221226265/index.m3u8
畅享影院,http://39.134.115.163:8080/PLTV/88888910/224/3221226300/index.m3u8
精品萌宠,http://39.134.115.163:8080/PLTV/88888910/224/3221226245/index.m3u8
追番必看,http://39.134.115.163:8080/PLTV/88888910/224/3221226269/index.m3u8
金鹰纪实,http://39.134.115.163:8080/PLTV/88888910/224/3221226198/index.m3u8

东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
中国功夫,http://39.134.115.163:8080/PLTV/88888910/224/3221225660/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221226212/index.m3u8?fmt=ts2hls
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221226211/index.m3u8?fmt=ts2hls
云南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
优漫卡通,http://39.134.115.163:8080/PLTV/88888910/224/3221225665/index.m3u8
金鹰卡通,http://39.134.115.163:8080/PLTV/88888910/224/3221226246/index.m3u8?fmt=ts2hls
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
军旗剧场,http://39.134.115.163:8080/PLTV/88888910/224/3221225669/index.m3u8
农业致富,http://39.134.115.163:8080/PLTV/88888910/224/3221225670/index.m3u8
黑莓动画,http://39.134.115.163:8080/PLTV/88888910/224/3221225672/index.m3u8
黑莓电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225769/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
纪实科教,http://39.134.115.163:8080/PLTV/88888910/224/3221225675/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
卡酷少儿,http://39.134.115.163:8080/PLTV/88888910/224/3221225677/index.m3u8
纪实科教,http://39.134.115.163:8080/PLTV/88888910/224/3221225676/index.m3u8
古装剧场,http://39.134.115.163:8080/PLTV/88888910/224/3221225678/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
黑龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225690/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
风尚,http://39.134.115.163:8080/PLTV/88888910/224/3221225707/index.m3u8
潮妈辣婆,http://39.134.115.163:8080/PLTV/88888910/224/3221225708/index.m3u8
精品体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225709/index.m3u8
优购物,http://39.134.115.163:8080/PLTV/88888910/224/3221225711/index.m3u8
生活频道,http://39.134.115.163:8080/PLTV/88888910/224/3221225712/index.m3u8
家庭剧场,http://39.134.115.163:8080/PLTV/88888910/224/3221225713/index.m3u8
精品大剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225714/index.m3u8
生活频道,http://39.134.115.163:8080/PLTV/88888910/224/3221225716/index.m3u8
山东教育卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225719/index.m3u8
哈哈炫动,http://39.134.115.163:8080/PLTV/88888910/224/3221225720/index.m3u8
金鹰卡通,http://39.134.115.163:8080/PLTV/88888910/224/3221225721/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
